Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Good Neighbors Philippines,goodneighborsph,164383173624513,NONPROFIT ORGANIZATION,PH,"Good Neighbors Philippines is an international, child-focused, humanitarian, and development  NGO. ",2020-03-27 15:18:51 SGT,N/A,N/A,2013-12-03 10:41:55 SGT,2013-12-03,10:41:55,Link,18,18,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/164383173624513/posts/614766991919460,GNIP-Child Rights Council from San Isidro Community Development Project represented Good Neighbors Philippines in the poster-making contest during the National Children's Month celebration at the House of Representatives last October. They nailed it. Proud of our youth representatives!,http://www.congress.gov.ph/photojournal/zoom.php?photoid=834,,,HOUSE OF REPRESENTATIVES | 16th Congress of the Philippines,"PROTECTING THE FUTUREPhoto credit: Gilbert Engay, Media Relations Service-PRIB22 October 2013 06:27:02 PMIn support of the global campaign to protect ""Children's rights today and tomorrow,"" the Committee on the Welfare of Children of the House of Representatives, in partnership with the Child Rights...",,,,-3.78
Stratbase ADR Institute,stratbaseadri,1512452085732585,CONSULATE & EMBASSY,PH,The Stratbase Albert del Rosario Institute for Strategic and International Studies (ADRi) is an independent international and strategic research organization with the principal goal of addressing the issues affecting the Philippines and East Asia.,2021-02-22 07:55:46 SGT,N/A,N/A,2017-03-20 08:05:15 SGT,2017-03-20,08:05:15,Link,18,9,0,9,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1512452085732585/posts/1749714292006362,"The PDP-Laban Federalism Institute, Foundation for Economic Freedom, Stratbase Albert del Rosario Institute (ADRi), Democracy Watch Philippines, and Congressional Policy and Budget Research Department (CPBRD) held a forum last March 8, 2017 on ""Amending the Economic Provisions of the Constitution."" The forum is part of the Federalism and Constitutional Reform Dialogue Series.",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1166,https://www.congress.gov.ph/photojournal/zoom.php?photoid=1166,,House of Representatives,"The PDP-Laban Federalism Institute, Foundation for Economic Reform, Stratbase Albert del Rosario Institute (ADRi), Democracy Watch, and Congressional Policy and Budget Research Department (CPBRD) held a forum last March 8, 2017 on ""Amending the Economic Provisions of the Constitution."" The forum is…",,,,0.95
Team Flores,TeamFloresKami,2026831494003990,POLITICIAN,,Politician,2021-02-23 18:43:06 SGT,N/A,N/A,2020-02-20 11:19:18 SGT,2020-02-20,11:19:18,Photo,17,15,0,1,0,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/2026831494003990/posts/2881540938533037,"As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. #HustoKaJohn #Bukidnon2ndDistrict",https://www.facebook.com/attyjohnfloresbukidnon/photos/a.1278245892268687/2762352837191311/?type=3,,,"Husto Ka, John","As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" 

This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. 

The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. 

#HustoKaJohn
#Bukidnon2ndDistrict 

Posted on the official House of Representatives Journal: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2275&key=jonathan%20keith%20flores:=:https://www.congress.gov.ph/photojournal/zoom.php?photoid=2275&key=jonathan%2520keith%2520flores",,,,0.89
Recoboda Partylist,RecobodaPartylist,2006989719608216,POLITICAL ORGANIZATION,PH,"Official Page of RECOBODA Partylist - Rural Electric Consumers and Beneficiaries of Development and Advancement. 

RECOBODA's elected official is Engr. Godofredo ""Fred"" Guya.
Rep. Fred Guya is a proud Power Bloc Representative in the 18th Congress.",2020-06-04 16:47:25 SGT,2914,2969,2020-09-18 09:00:39 SGT,2020-09-18,09:00:39,Photo,17,16,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/2006989719608216/posts/2443779725929211,"During the House Committee on Energy yesterday, house panel approved bills to ensure affordable electricity for low-income households and health crisis. 💡 The body approved a proposal that would mandate the extension of the implementation of the lifeline rate until 2041. This would allow low-income Filipino households continued affordable access to electricity amid the pandemic. The approved bill consolidated House Bills 7059 and 7341 seeking to extend the implementation of the lifeline rate, amending for the purpose Section 73 of Republic Act 9136, otherwise known as the “Electric Power Industry Reform Act (EPIRA). Committee Vice Chair Rep. Presley De Jesus, who presided over the meeting, emphasized that the lifeline rate supports consumers incapable of paying for the full cost by providing a subsidized electricity rate. | 📷 via Press and Public Affairs Bureau, House of Representatives READ MORE: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2520&fbclid=IwAR1x4p-FaPhKnTx13xFtsnNFeUPJkb66MRV5KOKeaqByaXe0ILpyq7EFZQI",https://www.facebook.com/RecobodaPartylist/photos/a.2034108213563033/2443777642596086/?type=3,,,Photos from Recoboda Partylist's post,,,,,-2.88
Diskurso Malaybalay,,126454552003596,none,,,2020-03-12 14:23:08 SGT,N/A,N/A,2020-02-20 10:54:35 SGT,2020-02-20,10:54:35,Photo,17,16,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/126454552003596/permalink/131338098181908,,https://www.facebook.com/attyjohnfloresbukidnon/photos/a.1278245892268687/2762352837191311/?type=3,,,"Husto Ka, John","As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" 

This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. 

The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. 

#HustoKaJohn
#Bukidnon2ndDistrict 

Posted on the official House of Representatives Journal: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2275&key=jonathan%20keith%20flores",,,,-3.12
MALAYBALAY CITY EXCLUSIVE                          (McX),,748816895185052,none,,,2020-03-08 15:05:05 SGT,N/A,N/A,2020-02-20 11:23:14 SGT,2020-02-20,11:23:14,Photo,17,15,1,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/748816895185052/permalink/2752160808183974,,https://www.facebook.com/attyjohnfloresbukidnon/photos/a.1278245892268687/2762352837191311/?type=3,,,"Husto Ka, John","As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" 

This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. 

The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. 

#HustoKaJohn
#Bukidnon2ndDistrict 

Posted on the official House of Representatives Journal: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2275&key=jonathan%20keith%20flores",,,,-7.41
TUCP Labor Center,TUCPLaborCenter,164957537514514,NONPROFIT ORGANIZATION,PH,"The Trade Union Congress of the Philippines (TUCP), with 480,000 members, is the biggest confederation of labor federations in the Philippines both in membership and in number of Collective Bargaining Agreements. It was founded on December 14, 1975 by 23 ",2021-01-15 10:16:22 SGT,N/A,N/A,2019-11-05 12:15:01 SGT,2019-11-05,12:15:01,Link,16,13,0,2,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/164957537514514/posts/411299019547030,"GOV'T OFFICIALS BACK DOFW BILL Officials from the Labor and Employment, Foreign Affairs and Budget Departments, Philippine Overseas Employment Administration (POEA) and Overseas Workers Welfare Administration (OWWA) on Wednesday expressed their full support for the creation of the Department of Overseas Filipino Workers (DOFW) as being pushed by Speaker Alan Peter ""Compañero"" Cayetano, Deputy Speaker Paolo Duterte and Rep. Maria Laarni Cayetano, authors of House Bill No. 2. Their expression of support was manifested during Day 2 of the joint meeting of the House Committees on Government Reorganization and Overseas Workers Affairs. Source: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2122&key=Department%20OFW",http://www.congress.gov.ph/photojournal/zoom.php?photoid=2122&key=Department+OFW,,,House of Representatives,"Officials from the Labor and Employment, Foreign Affairs and Budget Departments, Philippine Overseas Employment Administration (POEA) and Overseas Workers Welfare Administration (OWWA) on Wednesday expressed their full support for the creation of the Department of Overseas Filipino Workers (DOFW) as...",,,,0.84
Ferdinand L. Hernandez,CongDinandHernandez,910078755764368,PUBLIC & GOVERNMENT SERVICE,PH,"Deputy House Speaker Ferdinand L. Hernandez is the Congressman of the 2nd District of South Cotabato. He is now on his second term as representative.

",2017-07-22 15:35:15 SGT,N/A,N/A,2017-02-13 17:27:48 SGT,2017-02-13,17:27:48,Link,15,14,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/910078755764368/posts/1041221525983423,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1142,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1142,,,House of Representatives,"The House of Representatives, along with the PDP-Laban Federalism Institute, Congressional Policy and Budget Research Department (CPBRD), and Local Government Development Foundation(LOGODEF) recently sponsored the forum ""The Dual Executive and Semi-Presidentialism."" It highlighted the importance of…",,,,-25.67
Gov. Gwen Garcia,GwenGarciaCebuOfficial,161542770688841,GOVERNMENT OFFICIAL,PH,"The official Facebook Fanpage of Cebu Governor Gwendolyn Garcia. She was three term Governor of Cebu from 2004-2013, then became Congresswoman of the 3rd District of Cebu from 2013-2019. She won as governor again last May 2019 Elections.

Created 2013.",2017-07-22 15:13:04 SGT,N/A,N/A,2014-03-04 18:43:32 SGT,2014-03-04,18:43:32,Link,15,15,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/161542770688841/posts/10200810662708434,Woman Power,http://www.congress.gov.ph/photojournal/zoom.php?photoid=874,,,HOUSE OF REPRESENTATIVES | 16th Congress of the Philippines,"WOMAN POWERPhoto credit: Pecto Camero, Media Relations Service-PRIB 04 March 2014 03:06:44 PMUshering the celebration of the International Women's Month, the 79-strong women-caucus - Association of Women Legislators Foundation, Inc., - of the House of Representatives took over plenary proceedings la...",,,,-16.73
"KABATANG News, Politics and Public Service",,182154975943355,none,,,2020-03-13 14:32:30 SGT,N/A,N/A,2019-09-25 13:26:26 SGT,2019-09-25,13:26:26,Photo,14,13,0,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/182154975943355/permalink/507196610105855,,https://www.facebook.com/congmarvey/photos/a.234939683755523/492890564627099/?type=3,,,Cong. Marvey Mariño,"The House Committee on Government Reorganization chaired by Rep. Mario Vittorio “Marvey” Mariño (5th District, Batangas) in a joint hearing with the Committee on Disaster Management chaired by Rep. Lucy Torres-Gomez (4th District, Leyte) created their respective technical working groups (TWGs) to study and fast-track the approval of bills seeking to create a government agency to institutionalize the policies, structures, coordination mechanism and programs on disaster risk reduction. Topping the list is House Bill No. 4 authored by House Speaker Alan Peter “Compañero” Cayetano and Deputy Speaker and Davao City Rep. Paolo Duterte, which seeks to create the Emergency Response Department.

Source: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2137",,,,-3.43
AMIN - Anak Mindanao Partylist,AMINpartylist,274285867347,POLITICAL PARTY,PH,"Duly registered tri-people regional political party of the Moro, Lumad and Settlers whose membership come from the marginalized sectors.",2019-10-29 11:58:26 SGT,N/A,N/A,2019-03-09 12:16:26 SGT,2019-03-09,12:16:26,Link,14,13,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/274285867347/posts/10156890919792348,"Speaker Gloria Macapagal Arroyo leads the Philippines’ House of Representatives delegation in paying a courtesy call on visiting Prime Minister Mahathir Mohamad of Malaysia on March 7, 2019, Makati City. The Prime Minister is on a three-day Official Visit in the country. Among the House of Representatives' delegation is AMIN PL Rep. Makmod Mending Jr. . #153AMIN #AMINpartylist #AnakMINdanao http://www.congress.gov.ph/photojournal/zoom.php?photoid=1880",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1880,,,House of Representatives,"Former President and now House Speaker Gloria Macapagal Arroyo leads the Philippines’ House of Representatives delegation in paying a courtesy call on visiting Prime Minister Mahathir Mohamad of Malaysia at the Shangri-La Makati Hotel in Makati City on March 7, 2019. Senate President Vicente Sotto...",,,,-1.86
"Mayor Linabelle Ruth R. Villarica, City of Meycauayan",,260203974002103,GOVERNMENT OFFICIAL,PH,"Mayor of the City of Meycauayan, Bulacan",2016-03-10 22:01:12 SGT,N/A,N/A,2014-06-10 17:24:08 SGT,2014-06-10,17:24:08,Photo,14,13,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/260203974002103/posts/762581703764325,"I led the dialogue with our counterparts in the National Assembly of Laos in my capacity as Chair of the House Committee on Women and Gender Equality an dVice-President of the Association of Women Legislators. Their delegation was very much interested in the way our Magna Carta of Women had mandated 5% of local budgets for Gender and Development Programs. We, on the other hand, were quite impressed that their maternity leave is 3 1/2 months, compared to ours which is only two months or 60 days! Over lunch, madami pa kaming natutunan sa isa't isa. http://www.congress.gov.ph/photojournal/zoom.php?photoid=896",https://www.facebook.com/260203974002103/photos/a.348314531857713.80022.260203974002103/762581703764325/?type=3,,,Timeline Photos,,,,,-8.07
Trivia of Philippine History and World,,638393220251976,learning,,,2021-01-23 16:28:22 SGT,N/A,N/A,2020-04-28 06:30:41 SGT,2020-04-28,06:30:41,Link,13,7,6,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/638393220251976/permalink/680952229329408,"[http://www.congress.gov.ph/photojournal/zoom.php?photoid=1152](http://www.congress.gov.ph/photojournal/zoom.php?photoid=1152) **Mother of all Maps** A replica of the Carta Hydrographica y Chorographica de las Yslas Filipinas Manila 1734, otherwise known as the Murillo-Velarde Map, was turned over to the House of Representatives by Mel V. Velarde, Chairman of the Asian Institute of Journalism and Communication (AIJC). According to Velarde, Speaker Pantaleon D. Alvarez was chosen as the first official recipient of the historical scientific map because he heads the institution where around 300 congressional district representatives are gathered. In return, the Speaker promised to proudly display the piece in the House premises and to encourage his colleagues to support efforts that will instill intense love of country, especially among schoolchildren. Similar replicas will be donated to other government offices, including the Senate, Supreme Court and Executive Departments. The artifact was acquired in November 2014 through an auction conducted by Sotheby’s Auction House in the United Kingdom. “This historic map is part of every Filipino’s birthright”, Velarde said.",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1152,,,House of Representatives,"A replica of the Carta Hydrographica y Chorographica de las Yslas Filipinas Manila 1734, otherwise known as the Murillo-Velarde Map, was turned over to the House of Representatives by Mel V. Velarde, Chairman of the Asian Institute of Journalism and Communication (AIJC). According to Velarde, Speake...",,,,-0.13
ANGKLA,ANGKLAph,318413778228588,ORGANIZATION,PH,"This is the OFFICIAL Facebook page of ANGKLA PARTYLIST, an organization working for the interests of Filipinos in local and global maritime industries. For more information, visit its website at www.angkla.org",2016-04-12 19:54:29 SGT,81930,81231,2018-05-22 15:35:50 SGT,2018-05-22,15:35:50,Link,12,9,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/318413778228588/posts/1929089697160980,"Rep. Jesulito Manalo, chairman of the House committee on overseas workers affairs, on Monday expressed deep appreciation for the efforts of President Duterte and Labor Secretary Silvestre Bello III in handling the diplomatic issue with Kuwait and the eventual signing of a bilateral agreement with the Middle East country on greater protection of Filipino workers. #JessManalo http://www.congress.gov.ph/photojournal/zoom.php?photoid=1502",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1502,,,House of Representatives,"Rep. Jesulito Manalo, chairman of the House committee on overseas workers affairs, on Monday expressed deep appreciation for the efforts of President Duterte and Labor Secretary Silvestre Bello III in handling the diplomatic issue with Kuwait and the eventual signing of a bilateral agreement with th...",,,,-4.42
Taga MisOcc Ko,MisOccKo,2177335852521121,COMMUNITY,PH,All and about Misamis Occidental,2021-01-15 10:23:09 SGT,N/A,N/A,2020-10-06 17:29:14 SGT,2020-10-06,17:29:14,Photo,11,8,0,0,2,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/2177335852521121/posts/2706974616223906,,https://www.facebook.com/theworkingcongressman/photos/a.748947452139743/1291698764531273/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Ftheworkingcongressman%2Fphotos%2Fa.748947452139743%2F1291698764531273%2F%3Ftype%3D3,,Henry S. Oaminal,"Magandang umaga, Pilipinas! Maayong buntag, Misamis Occidental! 

With the desire to finish the 2021 budget deliberations on time, the House of Representatives continued doing its job notwithstanding time. 

Our #WorkingCongressman, Deputy Speaker Henry S. Oaminal presided budget deliberations for the Department of Agriculture, the Department of National Defense, and the National Irrigation Administration that began around 5pm on Monday and ended at 1:30am Tuesday.

For the Department of Agriculture’s P86.3-billion proposed budget interpellation focused on issues that the agriculture sector needs to address to achieve national food security especially during the health crisis. These issues include support for local products, government subsidies to farmers and fisherfolks, competition with importers, and farm-to-market roads.

House of Representatives photojournal: https://bit.ly/2GHMKyW:=:http://www.congress.gov.ph/photojournal/zoom.php?photoid=2555

#parasabayan 
#AsensoSegundoDistrito",,,,-0
House of Representatives of the Philippines,HouseofRepsPH,183015742270,GOVERNMENT ORGANIZATION,PH,The House of the People,2017-02-27 15:57:03 SGT,28706,31199,2018-01-24 10:12:13 SGT,2018-01-24,10:12:13,Link,10,7,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/183015742270/posts/10154896074322271,"The joint House sub-committee on local government, Muslim Affairs and Peace, Reconciliation and Unity discussed the establishment of the Bangsamoro Police Force. #OneHouseForChange",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1394,,,House of Representatives,"The joint House sub-committee on local government, Muslim affairs and peace, reconciliation and unity chaired by Rep. Wilter Wee Palma continues to polish the draft bill on the Bangsamoro Basic Law (BBL). On Monday, the panel discussed the establishment of the Bangsamoro Police Force, and how it sho...",,,,-3.1
Hugot Ka John,hugotkajohn,985783764940895,JUST FOR FUN,PH,Just For Fun,2019-01-30 03:37:28 SGT,1897,1888,2020-02-20 11:19:43 SGT,2020-02-20,11:19:43,Photo,10,9,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/985783764940895/posts/1269707463215189,"As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. #HustoKaJohn #Bukidnon2ndDistrict",https://www.facebook.com/attyjohnfloresbukidnon/photos/a.1278245892268687/2762352837191311/?type=3,,,"Husto Ka, John","As the Vice Chairman of the Committee on Justice in the Lower Congress, I presided over a recent meeting whereby we discussed HB No. 2993 or the ""Legal Aid Program Act of 2019."" 

This bill aims to institutionalize a clinical LEGAL EDUCATION program in all public and private law schools in the country. This means ALL law students will be asked to provide FREE legal assistance especially to the underprivileged before they take the bar exam. 

The principal author of the bill is Rizal 2nd District Rep. Juan Fidel Felipe Nograles. 

#HustoKaJohn
#Bukidnon2ndDistrict 

Posted on the official House of Representatives Journal: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2275&key=jonathan%20keith%20flores",,,,-5.7
MEL SENEN SARMIENTO,RepMelSarmiento,100044875340146,PERSON,PH,This is the official page of Public Servant Mel Senen S. Sarmiento,2021-01-14 11:39:41 SGT,N/A,N/A,2014-03-11 10:03:21 SGT,2014-03-11,10:03:21,Link,10,10,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/107489202626989/posts/10152323621500929,"[Staff] DFA candidates/nominees for Philippine Ambassadorship and Promotion visit Speaker Sonny Belmonte, Commission on Appointments House Head Contingent Cong. Mel Senen Sarmiento, CA House Panel, and Inter-Parliamentary Relations and Diplomacy Vice Chair Zenaida Angping in the House of Representatives. ",http://www.congress.gov.ph/photojournal/zoom.php?photoid=878,,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=878,http://www.congress.gov.ph/photojournal/zoom.php?photoid=878,,,,0
"Mayor Linabelle Ruth R. Villarica, City of Meycauayan",,260203974002103,GOVERNMENT OFFICIAL,PH,"Mayor of the City of Meycauayan, Bulacan",2016-03-10 22:01:12 SGT,N/A,N/A,2014-03-05 11:01:38 SGT,2014-03-05,11:01:38,Link,10,9,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/260203974002103/posts/608269759250156,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=874,,,HOUSE OF REPRESENTATIVES | 16th Congress of the Philippines,"WOMAN POWERPhoto credit: Pecto Camero, Media Relations Service-PRIB 04 March 2014 03:06:44 PMUshering the celebration of the International Women's Month, the 79-strong women-caucus - Association of Women Legislators Foundation, Inc., - of the House of Representatives took over plenary proceedings la...",,,,-3.6
"Atty. Reynaldo ""RU"" Umali",ReyUmaliOnline,1440546389501680,GOVERNMENT OFFICIAL,PH,"3rd-termer Representative, 2nd District of Oriental Mindoro. 
Chairman, Committee on Justice, House of Representatives.",2018-03-31 10:23:45 SGT,N/A,N/A,2017-01-11 17:13:28 SGT,2017-01-11,17:13:28,Link,9,9,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1440546389501680/posts/1819265898296392,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1125,,,House of Representatives,"The House committee on justice chaired by Rep. Reynaldo V. Umali (2nd District, Oriental Mindoro) resumed Thursday its probe on the proliferation of Bilibid drug syndicates with the appearance of Ronnie Dayan (upper right), the former driver and bodyguard of Sen. Leila de Lima. In his affidavit, Day...",,,,-8.44
AAMBIS-Owa Party-list,aambis,280225918225,COMMUNITY ORGANIZATION,PH,"AAMBIS-Owa Party List is the farmers' voice in the Philippine House of Representatives. 

(Due to GCQ, we will be adopting a skeleton workforce from Monday to Thursday, 8am - 7pm. For immediate concerns, kindly reach out to us through 09228399731. )",2018-03-31 11:55:50 SGT,N/A,24840,2018-03-15 17:28:50 SGT,2018-03-15,17:28:50,Link,9,9,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/280225918225/posts/10155431801293226,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1469,,,House of Representatives,The House committee on ways and means on Tuesday approved a substitute bill seeking to establish a regulatory and tax framework to enable collective investment scheme (CIS). Amendments previously proposed by the panel on Section 28 of the unnumbered substitute bill were adopted by the committee on e...,,,,-2.89
"Simplicia ""Bebie"" NERI",SimplyBebieNeri,1068342926559675,GOVERNMENT OFFICIAL,PH,City Vice-Mayor of Ozamiz City,2021-01-14 11:36:29 SGT,N/A,N/A,2020-10-06 07:07:16 SGT,2020-10-06,07:07:16,Photo,8,8,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1068342926559675/posts/3439910646069546,,https://www.facebook.com/theworkingcongressman/photos/a.748947452139743/1291698764531273/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Ftheworkingcongressman%2Fphotos%2Fa.748947452139743%2F1291698764531273%2F%3Ftype%3D3,,Henry S. Oaminal,"Magandang umaga, Pilipinas! Maayong buntag, Misamis Occidental! 

With the desire to finish the 2021 budget deliberations on time, the House of Representatives continued doing its job notwithstanding time. 

Our #WorkingCongressman, Deputy Speaker Henry S. Oaminal presided budget deliberations for the Department of Agriculture, the Department of National Defense, and the National Irrigation Administration that began around 5pm on Monday and ended at 1:30am Tuesday.

For the Department of Agriculture’s P86.3-billion proposed budget interpellation focused on issues that the agriculture sector needs to address to achieve national food security especially during the health crisis. These issues include support for local products, government subsidies to farmers and fisherfolks, competition with importers, and farm-to-market roads.

House of Representatives photojournal: https://bit.ly/2GHMKyW:=:http://www.congress.gov.ph/photojournal/zoom.php?photoid=2555

#parasabayan 
#AsensoSegundoDistrito",,,,-3
"Ilagan, Isabela (Philippines)",,43867757949,none,,,2020-03-21 02:24:42 SGT,N/A,N/A,2012-02-23 09:52:48 SGT,2012-02-23,09:52:48,Link,8,7,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/43867757949/permalink/10150581329882950,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=657,,,House of Representatives - 15th Congress of the Philippines,description,,,,-0.43
SUPPORTERS OF GOVERNOR DENNIS DELTA PINEDA&VICE GOVERNOR LILIA NANAY PINEDA,,112373882120213,none,,,2020-03-13 14:20:15 SGT,N/A,N/A,2019-04-15 10:29:21 SGT,2019-04-15,10:29:21,Photo,8,8,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/112373882120213/permalink/2426243034066608,Happy Birthday FPGMA!,https://www.facebook.com/GMABeat/photos/a.461575077225135/2094740607241899/?type=3,,,Gloria Macapagal Arroyo,"On her 72nd birthday held last April 5, several ambassadors personally greeted former President and now House Speaker Gloria Macapagal Arroyo as they paid her a courtesy call in her house in Lubao, Pampanga. They were H.E. Ali Ibrahim Al-Malki, of the State of Qatar, H.E. Daniel Robert Pruce of the United Kingdom and H.E. Songkane Luangmuninthone of Laos. All vowed to work for closer ties with the Philippines. Ambassador Pence for his part said whatever the outcome of the Brexit issue in the United Kingdom, his country will uphold with its economic, trade and cultural commitments with the Philippines and further improve relations with the Filipino people./ Photos by Perfecto Camero, News and Documentation Section-Press and Public Affairs Bureau/House of Representatives of the Philippines

http://www.congress.gov.ph/photojournal/zoom.php?photoid=1912",,,,-10.25
Liberal Party of the Philippines,LiberalPartyPhilippines,274448415322,POLITICAL PARTY,PH,"The Official Facebook Page of the Liberal Party of the Philippines, a political organization established since 1946.",2015-08-25 12:55:44 SGT,N/A,N/A,2013-08-05 11:11:05 SGT,2013-08-05,11:11:05,Link,7,7,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/274448415322/posts/10153117444415323,Speaker Sonny and Ways&Means Chair @miroquimbo w/ Moody's Investor Service Team's Annual Due Diligence Visit http://ow.ly/nCGy4:=:http://www.congress.gov.ph/photojournal/zoom.php?photoid=808,http://ow.ly/nCGy4,http://www.congress.gov.ph/photojournal/zoom.php?photoid=808,,HOUSE OF REPRESENTATIVES | 16th Congress of the Philippines,"MOODY'S CREDIT RATING REVIEWPhoto credit: Tobias Engay, Media Relations Service-PRIB01 August 2013 03:17:13 PMSpeaker Feliciano Belmonte, Jr. and...",,,,-31.57
